TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV LIQ / PATRI,PSR,P/CAP GIRO,P AT CIR LIQ,LIQ CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
ENAT3,22.12,0.88,4.07,1.41,0.88,33.95,117.16,80.03,2.78,1.72,-1.06,-0.54,3.26,2.13,-2.18,3.26,34.68,21.60,29.10,0.62,0.38,0.27,30.52,56.70,57098403.41,15.67,5.43,0.00,5879648738.60
ENBR3,22.35,9.82,6.01,1.06,0.39,21.81,20.22,11.44,3.40,5.47,2.07,0.64,0.69,4.51,-0.55,1.41,17.57,6.47,13.84,0.37,0.63,0.57,15.05,26.51,72576591.38,21.15,3.72,0.14,12989043739.80
ENEV3,15.56,,17.02,2.22,1.09,37.91,31.06,22.90,12.54,16.36,3.81,0.67,3.90,11.39,-1.33,2.22,13.04,6.43,8.12,0.49,0.51,0.28,18.85,,89702196.66,7.01,0.91,1.03,19968757687.48
ENGI11,47.40,6.01,6.10,1.80,0.31,22.46,18.47,10.52,3.48,7.18,3.70,1.92,0.64,6.12,-0.44,1.22,29.57,5.15,12.60,0.17,0.83,0.49,17.81,78.68,90074115.06,26.26,7.77,0.07,17202813175.20
ENGI3,15.89,3.59,10.23,3.03,0.53,22.46,18.47,10.52,5.83,7.18,3.70,1.92,1.08,10.26,-0.73,1.22,29.57,5.15,12.60,0.17,0.83,0.49,17.81,78.68,140624.34,5.25,1.55,0.11,17202813175.20
ENGI4,7.88,7.23,5.07,1.50,0.26,22.46,18.47,10.52,2.89,7.18,3.70,1.92,0.53,5.09,-0.36,1.22,29.57,5.15,12.60,0.17,0.83,0.49,17.81,78.68,191010.03,5.25,1.55,0.06,17202813175.20
ENJU3,2.23,,-3.71,1.04,0.93,26.17,-127.26,-111.91,-3.27,-0.37,2.90,-0.92,4.16,1.16,-8.23,10.62,-27.98,-25.15,-31.82,0.90,0.10,0.22,,,8858100.78,2.15,-0.60,-0.01,441218396.09
ENMA3B,50.49,9.15,8.79,2.71,1.06,32.48,23.06,17.50,6.67,,1.14,0.46,1.54,13.33,-1.62,1.30,30.79,12.07,19.69,0.39,0.61,0.69,11.48,18.73,,18.66,5.75,0.25,
ENMA6B,83.99,5.50,14.62,4.50,1.76,32.48,23.06,17.50,11.09,,1.14,0.46,2.56,22.18,-2.69,1.30,30.79,12.07,19.69,0.39,0.61,0.69,11.48,18.73,,18.66,5.75,0.42,
ENMT3,84.50,4.72,16.32,6.43,1.64,27.78,22.97,15.48,11.00,13.42,2.47,1.44,2.53,30.22,-2.29,1.24,39.39,10.04,19.48,0.25,0.75,0.65,16.93,53.95,107359.37,13.14,5.18,0.24,18428887763.00
ENMT4,84.00,4.74,16.23,6.39,1.63,27.78,22.97,15.48,10.93,13.42,2.47,1.44,2.51,30.04,-2.27,1.24,39.39,10.04,19.48,0.25,0.75,0.65,16.93,53.95,32098.91,13.14,5.18,0.24,18428887763.00
EPAR3,17.06,,3.43,2.81,0.98,16.58,8.25,7.83,3.26,3.37,0.12,0.10,0.27,3.19,-2.98,1.85,82.04,28.63,49.04,0.35,0.65,3.65,44.52,101.93,44573.58,6.06,4.97,0.01,253521290.08
EQPA3,6.20,6.61,13.36,4.08,1.13,28.82,20.27,12.63,8.32,9.89,1.56,0.76,1.69,9.31,-1.86,1.45,30.52,8.45,18.35,0.28,0.72,0.67,12.16,23.88,219094.35,1.52,0.46,0.31,13715319558.04
EQPA5,7.00,5.86,15.08,4.60,1.27,28.82,20.27,12.63,9.39,9.89,1.56,0.76,1.90,10.51,-2.10,1.45,30.52,8.45,18.35,0.28,0.72,0.67,12.16,23.88,4761.00,1.52,0.46,0.35,13715319558.04
EQPA6,10.48,3.91,22.57,6.89,1.91,28.82,20.27,12.63,14.07,9.89,1.56,0.76,2.85,15.74,-3.14,1.45,30.52,8.45,18.35,0.28,0.72,0.67,12.16,23.88,,1.52,0.46,0.53,13715319558.04
EQPA7,6.62,6.19,14.26,4.35,1.21,28.82,20.27,12.63,8.88,9.89,1.56,0.76,1.80,9.94,-1.98,1.45,30.52,8.45,18.35,0.28,0.72,0.67,12.16,23.88,662.00,1.52,0.46,0.33,13715319558.04
EQTL3,25.89,2.78,7.91,2.00,0.47,28.45,20.57,15.24,5.86,8.87,3.01,1.03,1.21,3.36,-0.73,1.67,25.30,5.99,12.13,0.24,0.76,0.39,24.97,38.99,228455723.19,12.94,3.27,0.33,29228116405.65
ESPA3,5.54,2.57,7.50,1.88,0.61,40.70,31.99,25.26,5.92,9.20,3.28,1.04,1.89,14.99,-0.99,1.12,25.03,8.14,13.90,0.33,0.67,0.32,,,20000120.16,2.95,0.74,0.04,1353065035.64
